X2,Y2,Z2,x2,y2,z2,delta_x2,delta_y2,delta_z2,delta_xy2,delta_xyz2
-60,60,130,-56.49548248,60.20370321,135.9999065,3.50451752,0.203703214,5.999906462,3.510432744,6.951403858
-10,-60,130,-8.579280308,-61.6443785,136.6091709,1.420719692,-1.644378502,6.609170859,2.173114148,6.957267032
60,30,130,58.20473195,29.97141942,136.7336206,-1.79526805,-0.028580576,6.733620639,1.795495536,6.968891671
-10,20,130,-4.208416654,22.8791978,127.2195551,5.791583346,2.879197804,-2.780444939,6.467783055,7.040105944
-50,-40,130,-51.20068171,-34.75974863,134.5636141,-1.200681713,5.240251374,4.563614129,5.376046041,7.051839828
70,40,130,67.0429141,38.25470909,136.1657082,-2.957085902,-1.74529091,6.165708243,3.43371481,7.057361797
20,-10,130,19.47205976,-12.23229263,136.6831464,-0.527940243,-2.232292631,6.683146398,2.293872554,7.065854305
-70,10,130,-65.94735535,11.56484311,135.6202993,4.052644655,1.564843111,5.62029934,4.344267793,7.103550333
-10,-30,130,-4.452033397,-26.85821118,126.8620241,5.547966603,3.141788816,-3.137975939,6.375795667,7.106170796
40,50,130,42.40135314,52.90104538,136.036902,2.401353144,2.901045384,6.036901982,3.765974143,7.115247486
-20,-30,130,-18.69051751,-32.82431498,136.4112992,1.309482486,-2.824314979,6.411299172,3.113117325,7.127149258
-70,60,130,-71.24739409,61.74325035,136.8388404,-1.247394086,1.743250349,6.838840433,2.143575001,7.166913719
30,-50,130,34.28357004,-52.53934171,135.1993291,4.28357004,-2.539341708,5.199329128,4.979681576,7.199323022
-60,10,130,-62.14924724,7.654704376,136.5072526,-2.149247238,-2.345295624,6.507252626,3.181143702,7.243204539
0,-30,130,0.57158594,-31.48603317,137.1361677,0.57158594,-1.486033171,7.136167651,1.592169926,7.311627302
0,0,130,1.852065763,4.368354083,135.5659339,1.852065763,4.368354083,5.565933851,4.744751309,7.313841987
70,-60,130,72.33092687,-60.34737396,136.9452278,2.330926869,-0.347373955,6.945227844,2.356668991,7.334171974
-40,60,130,-40.43203972,57.11472148,136.7359471,-0.432039725,-2.885278519,6.735947118,2.917445879,7.340604473
-70,-40,130,-67.5261073,-41.19475965,136.8948973,2.473892701,-1.194759654,6.894897272,2.747288796,7.422075459
40,40,130,40.58122941,37.89471617,137.1155575,0.581229411,-2.105283831,7.115557492,2.184043872,7.443198645
30,20,130,32.78415005,18.15555247,136.6699217,2.78415005,-1.844447528,6.66992171,3.339682348,7.459311886
60,-70,130,59.5886357,-70.97058966,137.442797,-0.411364304,-0.970589662,7.442797036,1.054165491,7.517080058
10,10,130,7.688139034,8.768048576,137.0630889,-2.311860966,-1.231951424,7.06308887,2.61961933,7.533235017
-10,60,130,-12.06319542,65.62532438,134.5788704,-2.06319542,5.625324384,4.578870378,5.991748473,7.541028027
30,10,130,35.14329973,9.125469531,135.4736586,5.143299734,-0.874530469,5.473658572,5.217119482,7.561697816
10,-50,130,7.434883336,-47.99462316,136.8349505,-2.565116664,2.005376844,6.834950498,3.25597294,7.570859139
20,40,130,17.20714507,44.50464625,124.5592011,-2.792854925,4.504646247,-5.440798931,5.30017702,7.595667809
-70,-60,130,-66.25105772,-55.69722835,124.9516829,3.748942283,4.302771645,-5.048317066,5.706874107,7.619312126
60,-10,130,57.22670364,-8.177410547,136.8929793,-2.773296355,1.822589453,6.892979256,3.318584787,7.650239736
-30,30,130,-24.41668054,29.14834714,124.7336164,5.583319462,-0.851652865,-5.266383611,5.647899505,7.7222772
50,50,130,55.48905406,49.34315301,124.559545,5.489054059,-0.656846991,-5.440454965,5.528215121,7.756269249
0,-60,130,-1.388795323,-56.02462994,136.5192621,-1.388795323,3.975370062,6.519262137,4.210976084,7.760998544
10,-60,130,8.2545764,-55.68681069,136.2597144,-1.7454236,4.313189309,6.259714381,4.652967393,7.799623689
-50,-60,130,-47.27242299,-61.55757877,137.1546752,2.727577013,-1.55757877,7.154675232,3.140975643,7.813776658
-60,-70,130,-60.61637687,-68.07083577,137.559081,-0.616376866,1.929164227,7.559081015,2.025239505,7.825682133
-60,-30,130,-61.5632873,-28.618455,137.5659394,-1.563287304,1.381545,7.565939412,2.086272701,7.848310198
-40,-50,130,-36.00784415,-48.33239562,136.5608834,3.992155846,1.667604375,6.56088342,4.326454975,7.858969646
50,-60,130,54.69054425,-56.13401991,124.9972673,4.690544247,3.865980085,-5.002732736,6.078405001,7.872378433
30,-20,130,27.15824383,-14.6609206,135.0880614,-2.841756171,5.339079398,5.088061429,6.048251562,7.903778594
-60,30,130,-56.50370584,29.03613423,137.0313692,3.496294155,-0.963865767,7.031369155,3.626721665,7.911590373
-40,40,130,-36.88260904,38.62803944,137.1724744,3.117390959,-1.371960556,7.172474394,3.405936312,7.940075006
10,20,130,12.27261442,22.57504447,137.190666,2.272614424,2.575044473,7.190666038,3.434476722,7.968770823
-70,-30,130,-64.4453538,-32.81146197,125.0043215,5.554646202,-2.811461975,-4.995678478,6.2256255,7.982181176
30,-40,130,31.10823093,-36.20671457,136.9525004,1.108230933,3.793285431,6.952500415,3.951859076,7.997152755
50,40,130,47.46048654,45.07937257,135.7052186,-2.539513459,5.079372569,5.70521856,5.678833886,8.049762302
60,60,130,58.13008207,58.40053335,137.7074501,-1.869917933,-1.599466647,7.70745014,2.460667924,8.090715314
-50,-30,130,-50.53519011,-25.9349498,136.9771838,-0.535190108,4.065050196,6.977183795,4.100129455,8.092722364
-20,40,130,-16.2698585,38.92584303,137.2245529,3.730141504,-1.074156972,7.224552948,3.881722406,8.201337339
30,40,130,34.79860206,43.98068862,124.64792,4.798602058,3.980688624,-5.352080039,6.234778555,8.216886537
-10,-50,130,-8.667405204,-45.06890759,136.5018693,1.332594796,4.931092406,6.501869335,5.107982107,8.268360542
0,10,130,3.933830814,7.916891996,137.0009573,3.933830814,-2.083108004,7.000957259,4.451332815,8.296250139
-50,20,130,-48.22445119,25.29367202,136.2630896,1.775548812,5.293672023,6.263089595,5.583505804,8.390579738
-30,-60,130,-30.23105397,-61.44581872,138.2746776,-0.231053966,-1.44581872,8.274677575,1.464164508,8.403217638
